,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Receiving,Receiving,Touches_Opp,Touches_Opp,Touches_Opp,Touches_Opp,Touches_Opp,Touches_Opp,Touches_Opp,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Receiving,Receiving
,Touches,Def_Pen,Def_3rd,Mid_3rd,Att_3rd,Att_Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Touches_Opp,Def_Pen_Opp,Def_3rd_Opp,Mid_3rd_Opp,Att_3rd_Opp,Att_Pen_Opp,Live_Opp,Succ_Opp,Att_Opp,Succ%_Opp,Mis_Opp,Dis_Opp,Rec_Opp,Prog_Opp
Arsenal,23628,2229,7136,10298,6399,962,23621,319,590,54.1,557,336,15988,1058,21813.0,2662.0,7777.0,9236.0,4999.0,712.0,21807.0,256.0,500.0,51.2,550.0,296.0,14022.0,824.0
Aston Villa,20477,2409,6868,8846,4984,814,20474,333,587,56.7,595,344,12580,916,22914.0,2354.0,7657.0,10179.0,5311.0,843.0,22909.0,349.0,649.0,53.8,541.0,334.0,15022.0,1011.0
Brentford,20340,2790,7848,8156,4515,807,20334,262,476,55.0,563,291,11492,869,24284.0,2246.0,6870.0,10945.0,6689.0,828.0,24279.0,325.0,616.0,52.8,618.0,316.0,15560.0,1011.0
Brighton,24676,2636,8026,10462,6403,861,24669,317,559,56.7,598,349,16197,1044,21430.0,2394.0,7655.0,8709.0,5286.0,817.0,21426.0,320.0,564.0,56.7,581.0,425.0,13089.0,860.0
Burnley,18254,2240,5824,8007,4637,659,18252,258,479,53.9,539,291,9285,708,25479.0,2438.0,8313.0,10861.0,6535.0,1077.0,25474.0,284.0,534.0,53.2,571.0,340.0,16592.0,1187.0
Chelsea,28796,2271,7904,13351,7779,1054,28787,364,624,58.3,591,383,20929,1315,19474.0,2726.0,7367.0,7878.0,4432.0,604.0,19468.0,310.0,567.0,54.7,592.0,364.0,11492.0,714.0
Crystal Palace,23296,2754,8741,9925,4876,734,23288,383,688,55.7,671,471,14791,889,22668.0,2206.0,7011.0,10141.0,5737.0,783.0,22664.0,302.0,575.0,52.5,654.0,363.0,14069.0,991.0
Everton,18937,2287,6399,7846,4932,725,18930,337,634,53.2,640,325,10202,784,26373.0,2287.0,7901.0,12142.0,6538.0,879.0,26371.0,399.0,735.0,54.3,664.0,369.0,17786.0,1207.0
Leeds United,22567,2618,8526,9440,4844,779,22562,339,655,51.8,676,298,13782,1079,21450.0,2373.0,7148.0,9235.0,5353.0,931.0,21445.0,478.0,886.0,54.0,676.0,378.0,12807.0,996.0
Leicester City,24211,2768,8536,11014,4876,733,24209,297,547,54.3,601,368,15942,984,22942.0,2212.0,7050.0,10222.0,5931.0,1010.0,22933.0,414.0,720.0,57.5,598.0,384.0,14605.0,1071.0
Liverpool,29396,2127,7183,14124,8312,1359,29388,343,635,54.0,590,366,20941,1625,19676.0,3355.0,8820.0,7612.0,3465.0,533.0,19676.0,343.0,577.0,59.4,655.0,321.0,10903.0,674.0
Manchester City,31232,1844,6562,15245,9632,1494,31223,425,741,57.4,497,316,24119,1556,17239.0,3452.0,8383.0,6248.0,2817.0,459.0,17238.0,282.0,509.0,55.4,510.0,271.0,9847.0,552.0
Manchester Utd,24490,2259,7378,11071,6260,875,24485,368,631,58.3,538,333,16510,1101,22941.0,2491.0,7232.0,10342.0,5606.0,809.0,22936.0,343.0,608.0,56.4,547.0,320.0,14880.0,993.0
Newcastle Utd,18176,2311,6711,7433,4285,720,18173,359,632,56.8,622,359,10029,622,25084.0,2226.0,6727.0,12209.0,6388.0,906.0,25078.0,337.0,641.0,52.6,562.0,354.0,17041.0,1193.0
Norwich City,20105,2902,8215,8016,4114,593,20102,298,581,51.3,548,313,11961,755,25493.0,1979.0,6870.0,11712.0,7165.0,1123.0,25481.0,417.0,714.0,58.4,560.0,317.0,17498.0,1208.0
Southampton,21305,2215,6530,9363,5666,818,21301,350,624,56.1,628,365,12306,941,23104.0,2474.0,7678.0,9812.0,5819.0,885.0,23102.0,334.0,582.0,57.4,659.0,354.0,14170.0,1047.0
Tottenham,24712,2514,7995,11397,5567,855,24707,375,667,56.2,588,341,17010,1093,23127.0,2339.0,6782.0,10544.0,6017.0,862.0,23125.0,322.0,585.0,55.0,558.0,336.0,15385.0,941.0
Watford,19050,2471,7232,7791,4274,612,19048,395,751,52.6,639,389,10238,755,25866.0,2020.0,7580.0,12010.0,6517.0,1044.0,25859.0,348.0,627.0,55.5,631.0,336.0,17158.0,1265.0
West Ham,22192,2438,6993,9962,5462,806,22186,306,545,56.1,521,293,14154,916,24108.0,2444.0,7521.0,10730.0,6093.0,940.0,24102.0,317.0,557.0,56.9,572.0,294.0,16036.0,1068.0
Wolves,23197,2659,8456,10147,4837,697,23196,450,771,58.4,598,341,15046,877,,,,,,,,,,,,,,
