,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Expected,Expected,Expected,Expected,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Expected,Expected,Expected,Expected
,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,xG,npxG,xAG,npxG+xAG,Gls_Opp_Opp,Ast_Opp_Opp,G-PK_Opp_Opp,PK_Opp_Opp,PKatt_Opp_Opp,CrdY_Opp_Opp,CrdR_Opp_Opp,Gls_Opp_Opp,Ast_Opp_Opp,G+A_Opp_Opp,G-PK_Opp_Opp,G+A-PK_Opp_Opp,xG_Opp_Opp,xAG_Opp_Opp,xG+xAG_Opp_Opp,npxG_Opp_Opp,npxG+xAG_Opp_Opp,xG_Opp_Opp,npxG_Opp_Opp,xAG_Opp_Opp,npxG+xAG_Opp_Opp
Arsenal,60,41,55,5,8,67,4,1.58,1.08,2.66,1.45,2.53,1.77,1.22,2.99,1.64,2.86,67.3,62.3,46.4,108.7,47.0,33.0,42.0,5.0,6.0,69.0,3.0,1.24,0.87,2.11,1.11,1.97,1.35,0.98,2.33,1.22,2.21,51.2,46.5,37.3,83.8
Aston Villa,50,42,47,3,3,81,2,1.32,1.11,2.42,1.24,2.34,1.26,1.0,2.26,1.21,2.21,47.9,45.9,37.9,83.8,52.0,35.0,48.0,4.0,6.0,83.0,1.0,1.37,0.92,2.29,1.26,2.18,1.43,0.99,2.42,1.31,2.3,54.4,49.6,37.7,87.3
Brentford,46,33,40,6,6,65,3,1.21,0.87,2.08,1.05,1.92,1.35,0.96,2.31,1.22,2.18,51.1,46.4,36.6,83.0,54.0,41.0,49.0,5.0,5.0,50.0,3.0,1.42,1.08,2.5,1.29,2.37,1.42,1.02,2.44,1.32,2.34,54.0,50.0,38.8,88.8
Brighton,40,30,36,4,7,72,2,1.05,0.79,1.84,0.95,1.74,1.4,0.98,2.38,1.25,2.23,53.0,47.5,37.3,84.9,44.0,34.0,41.0,3.0,4.0,80.0,0.0,1.16,0.89,2.05,1.08,1.97,1.31,0.92,2.23,1.23,2.15,49.8,46.9,34.9,81.8
Burnley,32,26,31,1,2,68,2,0.84,0.68,1.53,0.82,1.5,1.15,0.9,2.05,1.13,2.02,43.8,42.8,34.1,76.8,51.0,36.0,46.0,5.0,5.0,44.0,0.0,1.34,0.95,2.29,1.21,2.16,1.68,1.21,2.89,1.58,2.79,63.8,59.9,46.1,106.1
Chelsea,75,52,67,8,9,63,1,1.97,1.37,3.34,1.76,3.13,1.86,1.36,3.22,1.69,3.04,70.7,64.0,51.5,115.6,32.0,20.0,26.0,6.0,6.0,69.0,4.0,0.84,0.53,1.37,0.68,1.21,1.01,0.67,1.68,0.91,1.58,38.3,34.5,25.6,60.1
Crystal Palace,50,31,44,6,8,69,1,1.32,0.82,2.13,1.16,1.97,1.42,0.97,2.38,1.25,2.22,53.8,47.6,36.7,84.2,44.0,30.0,41.0,3.0,4.0,74.0,3.0,1.16,0.79,1.95,1.08,1.87,1.21,0.84,2.05,1.13,1.97,46.0,42.9,31.9,74.8
Everton,42,29,36,6,7,82,6,1.11,0.76,1.87,0.95,1.71,1.25,0.88,2.13,1.11,1.99,47.5,42.1,33.5,75.6,61.0,46.0,59.0,2.0,2.0,72.0,0.0,1.61,1.21,2.82,1.55,2.76,1.6,1.21,2.81,1.56,2.77,60.9,59.4,45.8,105.2
Leeds United,42,26,37,5,5,101,3,1.11,0.68,1.79,0.97,1.66,1.33,0.94,2.27,1.22,2.17,50.4,46.5,35.8,82.3,78.0,59.0,73.0,5.0,5.0,74.0,3.0,2.05,1.55,3.61,1.92,3.47,1.93,1.39,3.31,1.82,3.21,73.2,69.3,52.8,122.1
Leicester City,62,46,60,2,2,55,1,1.63,1.21,2.84,1.58,2.79,1.37,0.99,2.36,1.33,2.32,52.1,50.6,37.5,88.1,58.0,36.0,51.0,7.0,9.0,60.0,0.0,1.53,0.95,2.47,1.34,2.29,1.81,1.24,3.05,1.63,2.87,68.8,62.0,47.1,109.1
Liverpool,94,71,87,7,8,50,1,2.47,1.87,4.34,2.29,4.16,2.5,1.79,4.29,2.35,4.14,95.1,89.3,67.9,157.1,25.0,18.0,25.0,0.0,0.0,63.0,3.0,0.66,0.47,1.13,0.66,1.13,0.98,0.8,1.78,0.98,1.78,37.3,37.3,30.3,67.6
Manchester City,96,63,89,7,9,42,1,2.53,1.66,4.18,2.34,4.0,2.54,1.86,4.4,2.35,4.21,96.6,89.3,70.5,159.8,26.0,23.0,25.0,1.0,1.0,68.0,3.0,0.68,0.61,1.29,0.66,1.26,0.69,0.53,1.22,0.66,1.2,26.0,25.3,20.2,45.5
Manchester Utd,56,46,53,3,5,77,2,1.47,1.21,2.68,1.39,2.61,1.62,1.26,2.88,1.52,2.78,61.7,57.8,47.8,105.6,54.0,41.0,51.0,3.0,5.0,48.0,1.0,1.42,1.08,2.5,1.34,2.42,1.57,1.16,2.73,1.48,2.64,59.6,56.1,44.1,100.2
Newcastle Utd,41,23,38,3,3,81,2,1.08,0.61,1.68,1.0,1.61,1.17,0.8,1.97,1.11,1.91,44.4,42.1,30.4,72.5,60.0,43.0,55.0,5.0,6.0,75.0,3.0,1.58,1.13,2.71,1.45,2.58,1.64,1.22,2.86,1.53,2.75,62.4,58.0,46.4,104.4
Norwich City,21,16,18,3,3,57,1,0.55,0.42,0.97,0.47,0.89,0.94,0.69,1.63,0.88,1.57,35.7,33.3,26.3,59.6,82.0,57.0,73.0,9.0,12.0,62.0,2.0,2.16,1.5,3.66,1.92,3.42,2.17,1.57,3.73,1.93,3.49,82.3,73.3,59.5,132.8
Southampton,41,26,37,4,4,65,2,1.08,0.68,1.76,0.97,1.66,1.31,0.94,2.25,1.23,2.17,49.9,46.7,35.8,82.5,65.0,47.0,63.0,2.0,2.0,64.0,1.0,1.71,1.24,2.95,1.66,2.89,1.67,1.26,2.93,1.63,2.89,63.3,61.9,48.0,109.9
Tottenham,63,50,58,5,5,69,1,1.66,1.32,2.97,1.53,2.84,1.75,1.32,3.07,1.65,2.97,66.5,62.6,50.3,112.9,39.0,29.0,37.0,2.0,2.0,83.0,6.0,1.03,0.76,1.79,0.97,1.74,1.19,0.91,2.1,1.15,2.06,45.3,43.7,34.5,78.2
Watford,33,26,32,1,2,63,3,0.87,0.68,1.55,0.84,1.53,1.17,0.95,2.12,1.12,2.08,44.3,42.7,36.1,78.9,74.0,56.0,68.0,6.0,7.0,64.0,1.0,1.95,1.47,3.42,1.79,3.26,1.91,1.47,3.38,1.77,3.24,72.6,67.2,55.8,123.0
West Ham,58,46,54,4,6,52,3,1.53,1.21,2.74,1.42,2.63,1.53,1.12,2.64,1.41,2.53,58.0,53.7,42.4,96.1,49.0,38.0,47.0,2.0,6.0,49.0,3.0,1.29,1.0,2.29,1.24,2.24,1.53,1.14,2.67,1.42,2.56,58.1,53.9,43.3,97.2
Wolves,35,22,34,1,1,62,2,0.92,0.58,1.5,0.89,1.47,1.08,0.76,1.85,1.07,1.83,41.2,40.6,29.0,69.6,,,,,,,,,,,,,,,,,,,,,
